mes;2018;2019;2020;2021;2022;2023;2024;2025
jan;72;79,6;76;49,46;73,27;82,85;70,82;84,41
fev;66,6;74,2;73;44,45;66;76,28;75,6;85,71
mar;48,8;90,66;59;39,11;61,05;73,59;72,2;84,1
abr;44,5;55,6;;31,4;63,68;66,43;67,2;76,75
mai;38;50,2;;37,39;52,69;60,58;67,89;72,81
jun;39,4;51,4;22,8;43,89;52,2;60,9;67,07;66,33
jul;44;56,2;19,78;51,44;65,03;67,34;70,15;74,13
ago;52;53,4;24,48;51,6;65,2;71,67;72,5;72,87
set;53;58,83;31,25;50,73;75,63;69,85;78,25;79,27
out;56,6;69;37,4;57,96;64,62;74,71;77,78;81,49
nov;62,4;65;49,55;62,29;70,67;81,98;81,61;78,64
dez;66,67;70,5;47,36;65,01;70,01;67,13;76,79;76,21
