regiao;ano;mes;mes_num;ocupacao_pct
Barra da Tijuca / São Conrado;2018;jan;1;61
Barra da Tijuca / São Conrado;2018;fev;2;49
Barra da Tijuca / São Conrado;2018;mar;3;34
Barra da Tijuca / São Conrado;2018;abr;4;37,67
Barra da Tijuca / São Conrado;2018;mai;5;33,8
Barra da Tijuca / São Conrado;2018;jun;6;33,2
Barra da Tijuca / São Conrado;2018;jul;7;38
Barra da Tijuca / São Conrado;2018;ago;8;47
Barra da Tijuca / São Conrado;2018;set;9;48,4
Barra da Tijuca / São Conrado;2018;out;10;45,8
Barra da Tijuca / São Conrado;2018;nov;11;49,8
Barra da Tijuca / São Conrado;2018;dez;12;54,5
Barra da Tijuca / São Conrado;2019;jan;1;73,2
Barra da Tijuca / São Conrado;2019;fev;2;56,2
Barra da Tijuca / São Conrado;2019;mar;3;58,8
Barra da Tijuca / São Conrado;2019;abr;4;47,6
Barra da Tijuca / São Conrado;2019;mai;5;45
Barra da Tijuca / São Conrado;2019;jun;6;43
Barra da Tijuca / São Conrado;2019;jul;7;46,2
Barra da Tijuca / São Conrado;2019;ago;8;39,4
Barra da Tijuca / São Conrado;2019;set;9;51,83
Barra da Tijuca / São Conrado;2019;out;10;63
Barra da Tijuca / São Conrado;2019;nov;11;61
Barra da Tijuca / São Conrado;2019;dez;12;66,4
Barra da Tijuca / São Conrado;2020;jan;1;82
Barra da Tijuca / São Conrado;2020;fev;2;62
Barra da Tijuca / São Conrado;2020;mar;3;53
Barra da Tijuca / São Conrado;2020;jun;6;18,8
Barra da Tijuca / São Conrado;2020;jul;7;23,08
Barra da Tijuca / São Conrado;2020;ago;8;34,8
Barra da Tijuca / São Conrado;2020;set;9;39
Barra da Tijuca / São Conrado;2020;out;10;50,2
Barra da Tijuca / São Conrado;2020;nov;11;48
Barra da Tijuca / São Conrado;2020;dez;12;51,2
Barra da Tijuca / São Conrado;2021;jan;1;56,4
Barra da Tijuca / São Conrado;2021;fev;2;60,75
Barra da Tijuca / São Conrado;2021;mar;3;47,2
Barra da Tijuca / São Conrado;2021;abr;4;47,8
Barra da Tijuca / São Conrado;2021;mai;5;46,68
Barra da Tijuca / São Conrado;2021;jun;6;58,2
Barra da Tijuca / São Conrado;2021;jul;7;68,4
Barra da Tijuca / São Conrado;2021;ago;8;66
Barra da Tijuca / São Conrado;2021;set;9;56,65
Barra da Tijuca / São Conrado;2021;out;10;63,78
Barra da Tijuca / São Conrado;2021;nov;11;61,13
Barra da Tijuca / São Conrado;2021;dez;12;65,13
Barra da Tijuca / São Conrado;2022;jan;1;74,1
Barra da Tijuca / São Conrado;2022;fev;2;65,18
Barra da Tijuca / São Conrado;2022;mar;3;56,1
Barra da Tijuca / São Conrado;2022;abr;4;62,83
Barra da Tijuca / São Conrado;2022;mai;5;48,13
Barra da Tijuca / São Conrado;2022;jun;6;52,37
Barra da Tijuca / São Conrado;2022;jul;7;63,5
Barra da Tijuca / São Conrado;2022;ago;8;63,09
Barra da Tijuca / São Conrado;2022;set;9;69,54
Barra da Tijuca / São Conrado;2022;out;10;64,17
Barra da Tijuca / São Conrado;2022;nov;11;68,92
Barra da Tijuca / São Conrado;2022;dez;12;68,83
Barra da Tijuca / São Conrado;2023;jan;1;82,8
Barra da Tijuca / São Conrado;2023;fev;2;73,9
Barra da Tijuca / São Conrado;2023;mar;3;69,63
Barra da Tijuca / São Conrado;2023;abr;4;68,77
Barra da Tijuca / São Conrado;2023;mai;5;53,75
Barra da Tijuca / São Conrado;2023;jun;6;53,5
Barra da Tijuca / São Conrado;2023;jul;7;65,53
